sat.Earth.TA              sat.Earth.SMA             sat.Earth.ECC             sat.EarthMJ2000Eq.INC     sat.EarthMJ2000Eq.RAAN    sat.EarthMJ2000Eq.AOP     sat.EarthMJ2000Eq.FPA     sat.Earth.EA              sat.Earth.MA              sat.EarthMJ2000Eq.VX      sat.EarthMJ2000Eq.VY      sat.EarthMJ2000Eq.VZ      sat.EarthMJ2000Eq.HX      sat.EarthMJ2000Eq.HY      sat.EarthMJ2000Eq.HZ      
1.478779333471098e-06     51025.09040000012         0.7000000000000005        29.99999999999995         59.99999999999999         90.00000000000006         89.99999950282778         6.212115747995376e-07     1.863634724398609e-07     -3.326678457723527        -5.761976252074468        -4.12379492570672e-08     44100.80359837319         -25461.61082899959        88201.60719674655         
1.494064997135913         51025.09040000012         0.7000000000000005        29.99999999999995         60.00000000000001         90.00000000000006         89.38480400378627         0.6276621278919481        0.1883074260973505        -3.249479879442746        -5.805010485855564        -0.05102224360728224      44100.80359837319         -25461.61082899958        88201.60719674657         
6.286545968754487         51025.09040000026         0.7000000000000014        29.99999999999994         59.99999999999999         90.00000000000007         87.41196202095887         2.643061318889866         0.7935745062343255        -2.99349274693581         -5.927165804259134        -0.2142790128423725       44100.8035983732          -25461.61082899959        88201.60719674658         
13.25326422846432         51025.09040000652         0.7000000000000401        29.99999999999995         60.00000000000001         90.0000000000034          84.54785123338111         5.588008885607794         1.682600874984314         -2.601623908633478        -6.060223296649566        -0.4486238215181944       44100.80359837356         -25461.61082899979        88201.60719674728         
20.44796052209126         51025.09040000847         0.7000000000000488        29.99999999999995         60.00000000000001         90.00000000001094         81.59903307846965         8.665652929325379         2.622795702440943         -2.177908210390234        -6.140463926658145        -0.6836451453075149       44100.80359837388         -25461.61082899998        88201.60719674795         
27.60137223825786         51025.09040000119         0.6999999999999954        29.99999999999994         60.00000000000001         90.00000000001967         78.68139311609195         11.78275676176668         3.592839835182819         -1.743994763574772        -6.16142051584533         -0.9066515149195037       44100.80359837395         -25461.61082900002        88201.60719674811         
34.84863512680494         51025.09039998016         0.6999999999998492        29.99999999999994         60.00000000000001         90.00000000002926         75.74575868320817         15.02136539529644         4.626452686984397         -1.298478716811014        -6.122505310309792        -1.118175686105626        44100.80359837371         -25461.61082899987        88201.60719674763         
42.09954969245937         51025.09039994521         0.6999999999996102        29.99999999999994         60.00000000000001         90.00000000003585         72.83559687028232         18.36754351436372         5.729353233761793         -0.8538799619195616       -6.023608927588094        -1.311926136958225        44100.80359837308         -25461.61082899951        88201.60719674636         
48.57539070616526         51025.09039993022         0.6999999999995086        29.99999999999995         60.00000000000001         90.00000000003607         70.2653830395146          21.46799822113097         6.789561590590727         -0.4635698132935615       -5.885850116473336        -1.467313667931051        44100.80359837276         -25461.61082899933        88201.60719674571         
54.47708721450331         51025.09039992349         0.6999999999994631        29.99999999999995         59.99999999999999         90.00000000003514         67.95216848003773         24.40476980317755         7.833330984359724         -0.117810669840026        -5.721202069564949        -1.592663442555767        44100.80359837261         -25461.61082899924        88201.6071967454          
60.01828251474131         51025.09039991987         0.6999999999994387        29.99999999999995         60.00000000000001         90.00000000003396         65.81051336111355         27.27571649713409         8.895744642971373         0.1948136651345072        -5.534263210496878        -1.695011009740558        44100.80359837251         -25461.61082899919        88201.60719674522         
65.30955981956167         51025.09039991793         0.699999999999426         29.99999999999994         59.99999999999999         90.00000000003277         63.79769909585029         30.13595327287656         10.00006968300419         0.4797292453847881        -5.328148303287684        -1.777968551285087        44100.80359837245         -25461.61082899916        88201.60719674508         
70.41456863972071         51025.0903999173          0.6999999999994215        29.99999999999994         59.99999999999999         90.00000000003166         61.89064644002949         33.02140323939898         11.16497693184125         0.7397007755282367        -5.105393536344647        -1.843650554027893        44100.80359837243         -25461.61082899914        88201.60719674504         
75.37543447138066         51025.09039991741         0.6999999999994225        29.99999999999994         60.00000000000001         90.00000000003054         60.07564397342361         35.96001888432937         12.40833645195758         0.976316098526455         -4.86814031200189         -1.893469109056803        44100.80359837243         -25461.61082899913        88201.60719674504         
80.22272913893492         51025.09039991834         0.6999999999994292        29.99999999999994         60.00000000000001         90.00000000002949         58.34440408178543         38.97631983733002         13.74902239455034         1.19054865198774          -4.618245112733709        -1.928446855504106        44100.80359837245         -25461.61082899914        88201.60719674508         
84.97735482503714         51025.09039992024         0.6999999999994414        29.99999999999994         60.00000000000001         90.00000000002866         56.69327140754326         42.09179268839443         15.20722468542377         1.382901817076978         -4.35750994062842         -1.949355677147629        44100.8035983725          -25461.61082899917        88201.60719674517         
89.649969233229           51025.09039992266         0.6999999999994582        29.99999999999994         60.00000000000001         90.00000000002792         55.12326186639409         45.32355700589861         16.80389355143586         1.553486184789677         -4.087952048380663        -1.956833200178263        44100.80359837256         -25461.6108289992         88201.60719674529         
94.23636051345673         51025.09039992588         0.6999999999994791        29.99999999999994         60.00000000000001         90.00000000002757         53.6412164050606          48.67942636042793         18.55794844373361         1.702032027403523         -3.812268566815995        -1.951523155338939        44100.80359837264         -25461.61082899926        88201.60719674546         
98.96481107400329         51025.09039993185         0.6999999999995195        29.99999999999995         60.00000000000001         90.00000000002747         52.18473848430506         52.35279871007293         20.59657233657312         1.83457353995332          -3.518412763425958        -1.932965048018752        44100.80359837283         -25461.61082899936        88201.60719674581         
103.3264376043546         51025.09039993533         0.6999999999995421        29.99999999999994         60.00000000000001         90.00000000002781         50.91655402052883         55.95601376544538         22.72299353965805         1.937511752319525         -3.240391542141876        -1.904176340727458        44100.80359837294         -25461.61082899942        88201.60719674604         
107.8676947137451         51025.09039994166         0.6999999999995834        29.99999999999994         59.99999999999999         90.0000000000291          49.68653882613674         59.95221726066099         25.23523288458072         2.024325666097951         -2.945602730634424        -1.862485097777712        44100.80359837314         -25461.61082899956        88201.6071967465          
112.3194368815058         51025.09039994741         0.6999999999996209        29.99999999999994         60.00000000000001         90.00000000003094         48.58653621555277         64.13928032110934         28.04867348691535         2.088745932003019         -2.65312047556653         -1.810262876381927        44100.80359837339         -25461.61082899968        88201.60719674696         
