Time - Sim theta,Amplitude - Sim theta,Time - encoder theta,Amplitude - encoder theta,Time - reference input,Amplitude - reference input
0,0,0,0,0,0
1,0.000132312,1,0,1,0.002
2,0.000476034,2,0,2,0.004
3,0.00106702,3,0,3,0.006
4,0.00191132,4,0,4,0.008
5,0.00299566,5,0,5,0.01
6,0.00429542,6,0,6,0.012
7,0.00578044,7,0,7,0.014
8,0.00741908,8,0,8,0.016
9,0.00918088,9,0,9,0.018
10,0.0110382,10,0.00153398,10,0.02
11,0.0129639,11,0.00153398,11,0.022
12,0.0149395,12,0.00306796,12,0.024
13,0.0169466,13,0.00306796,13,0.026
14,0.0189747,14,0.00460194,14,0.028
15,0.0210126,15,0.00613592,15,0.03
16,0.0230526,16,0.0076699,16,0.032
17,0.0250897,17,0.00920388,17,0.034
18,0.0271212,18,0.0122718,18,0.036
19,0.0291427,19,0.0138058,19,0.038
20,0.0311552,20,0.0153398,20,0.04
21,0.0331604,21,0.0168738,21,0.042
22,0.0351596,22,0.0184078,22,0.044
23,0.0371541,23,0.0199418,23,0.046
24,0.0391452,24,0.0230097,24,0.048
25,0.041131,25,0.0245437,25,0.05
26,0.0431138,26,0.0260777,26,0.052
27,0.0450954,27,0.0291456,27,0.054
28,0.0470738,28,0.0306796,28,0.056
29,0.0490515,29,0.0322136,29,0.058
30,0.0510299,30,0.0352816,30,0.06
31,0.053007,31,0.0368155,31,0.062
32,0.0549846,32,0.0398835,32,0.064
33,0.0569611,33,0.0414175,33,0.066
34,0.0589385,34,0.0429515,34,0.068
35,0.0609182,35,0.0460194,35,0.07
36,0.0628977,36,0.0475534,36,0.072
37,0.0648788,37,0.0506214,37,0.074
38,0.0668595,38,0.0521553,38,0.076
39,0.0688415,39,0.0552233,39,0.078
40,0.070823,40,0.0567573,40,0.08
41,0.072806,41,0.0582913,41,0.082
42,0.0747916,42,0.0613592,42,0.084
43,0.0767773,43,0.0628932,43,0.086
44,0.0787646,44,0.0644272,44,0.088
45,0.0807545,45,0.0674952,45,0.09
